what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166683957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166685066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166687548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166690028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166691764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166695641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166699487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166700484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166701274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166704536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166704588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166704697
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449166704710
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1449166716786
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166723120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449166724285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449166725250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449166726261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166727678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166728784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166729488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166733046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166733098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166733202
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449166733217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166737117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166746823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166746852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166751930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166751953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166755574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166755602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166763053
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1449166771622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166785695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166787271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166787968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166794307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166794366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166794461
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449166794474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166803073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166808582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166808606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166811166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166811193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166824845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166824868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166833421
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1449166840407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166841026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1449166842693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449166844101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449166849016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449166849938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166852420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166854014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166854776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166859914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166859966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166860073
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449166860086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166862047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166867573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166867598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166871027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166871051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166873044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166873070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166881668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166881694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166887288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166887318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166941241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166943020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166945090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166945141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166949148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166949175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166954659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166954682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166958487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166958513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166960312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166960348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166961705
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1449166964319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449166965224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1449166966774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166971859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166972876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166973712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166976099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166976154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166976302
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449166976315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166979757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166983250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166983299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166985476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166987854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166999947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449166999996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167001294
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167001324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167006956
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167006981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167011755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167011778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167018789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167018813
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167020862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167020886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167028202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167028224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167039311
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1449167039334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167043112
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449167050182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449167112457
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.eof",1449167124371
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.eof",1449167124771
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1449167125282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167125721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167126254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167126640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167126980
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167127347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167127696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167128394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167129109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167129465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167129990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167130652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167131046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167131425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167131782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167132295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167132658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449167133028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449167136490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449167137738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449167139281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449167140346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1449167142914
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAutomatically",1449167145874
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1449167147864
